raw_index,raw_column_header,category,question_ref,parent_ref,response_type,scope,output_name,notes
38,[If yes] What challenges did you experience with the claim process?/f. Other (specify),multi_select_child,,q_claim_challenges,,,,Binary (0/1) child
39,"If other, please specify:",free_text_child,,q_claim_challenges,,,,Other-specify follow-up to /f option (col 38)
40,[If e] What specific support would you need to make the claims process easier?,free_text_child,,q_claim_challenges,,,q_claim_challenges__support_text,Follow-up specific to /e option of col 32; open-text
41,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?",question_ref,q_coping_mechanisms,,multi_select_parent,,,Multi-select parent; binary children in cols 42–49
42,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/a. Use savings",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
43,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/b. Borrow money",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
44,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/c. Sell assests or livestock",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child; raw CSV has typo 'assests'
45,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/d. Reduce food consumption or essential spending",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
46,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/e. Take your children out of school",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
47,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/f. Closed business temporarily",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
48,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/g. None of the above",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
49,"[If yes to experiencing an insured event] Because of the event, did you have to do any of the following?/h. Other (specify)",multi_select_child,,q_coping_mechanisms,,,,Binary (0/1) child
50,"If other, please specify:",free_text_child,,q_coping_mechanisms,,,,Other-specify follow-up to /h option (col 49)
51,This section includes questions related to additional services offered in the insurance.,drop_scaffold,,,,,,Section header for additional services module
52,"In the past 12 months, which of the following services did you use?",question_ref,q_bundled_services_used,,multi_select_parent,,,Multi-select parent; binary children in cols 53–59
53,"In the past 12 months, which of the following services did you use?/a. Teleconsultation - doctor by phone (general or specialized such as psychologist, nutritionist)",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
54,"In the past 12 months, which of the following services did you use?/b. Face to face consultations (general or specialized such as dental, opthalmology)",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
55,"In the past 12 months, which of the following services did you use?/c. Access to medicines (discounts or free)",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
56,"In the past 12 months, which of the following services did you use?/d. Lab examination/lab test",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
57,"In the past 12 months, which of the following services did you use?/e. Health events (mobile clinic, orange ambulance, medical brigades, etc.)",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
58,"In the past 12 months, which of the following services did you use?/f. None",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
59,"In the past 12 months, which of the following services did you use?/g. Other: please specify",multi_select_child,,q_bundled_services_used,,,,Binary (0/1) child
60,"If other, please specify:",free_text_child,,q_bundled_services_used,,,,Other-specify follow-up to /g option (col 59)
61,If [did access the services] did the services help you as you wanted?,question_ref,q_services_helped,,single_select,,,Conditional on use of at least one non-None service
62,I will now ask you questions on how the insurance has impacted the wellbeing of your children and finances.,drop_scaffold,,,,,,Transition sentence
63,How much does the insurance help reduce your financial stress?,question_ref,q_financial_stress,,likert5,,,
64,"Since taking the insurance product from VisionFund, has the wellbeing of the children you support improved?",question_ref,q_child_wellbeing,,single_select,,,
65,[If a] What improved for your children since having the insurance product?,question_ref,q_child_improvements,,multi_select_parent,,,Multi-select parent; children in cols 66–72; conditional on col 64 = improved
66,[If a] What improved for your children since having the insurance product?/a. Improved access to healthcare treatment and diagnosis,multi_select_child,,q_child_improvements,,,,Binary (0/1) child
67,[If a] What improved for your children since having the insurance product?/b. Reduced out-of-pocket expenses that helped us maintain nutritious and sufficient meals.,multi_select_child,,q_child_improvements,,,,Binary (0/1) child
68,[If a] What improved for your children since having the insurance product?/c. Fewer school days missed due to improved health,multi_select_child,,q_child_improvements,,,,Binary (0/1) child
69,"[If a] What improved for your children since having the insurance product?/d. Reduced need to work extra hours after a shock, allowing more time to spend with children",multi_select_child,,q_child_improvements,,,,Binary (0/1) child
70,"[If a] What improved for your children since having the insurance product?/e. Ability to continue normal daily activities (play, social life, learning)",multi_select_child,,q_child_improvements,,,,Binary (0/1) child
71,"[If a] What improved for your children since having the insurance product?/f. Increased savings after loss helped meet the children’s needs including clothing, shoes, and school supplies",multi_select_child,,q_child_improvements,,,,Binary (0/1) child
72,[If a] What improved for your children since having the insurance product?/g. Other (please specify),multi_select_child,,q_child_improvements,,,,Binary (0/1) child
73,"If other, please specify:",free_text_child,,q_child_improvements,,,,Other-specify follow-up to /g option (col 72)
74,"This section includes questions on your level of satisfaction with your interaction with VisionFund, their products or services.",drop_scaffold,,,,,,Section header for satisfaction/NPS module
75,"On a scale of 0-10, how likely are you to recommend the VisionFund Insurance to a friend or family member, where 0 is not at all likely and 10 is extremely likely?",question_ref,q_nps_score,,nps_score,,,Net Promoter Score; numeric 0–10
76,[If 0-6] What actions could VisionFund take to make you more likely to recommend the insurance product to a friend or family member?,question_ref,q_nps_detractor_followup,,open_text,,,Conditional follow-up for detractors; classified as question_ref per spec
77,[If 7-8] What specifically about the VisionFund  Insurance caused you to give it the score that you did?,question_ref,q_nps_passive_followup,,open_text,,,Conditional follow-up for passives; classified as question_ref per spec
78,[If 9-10] What specifically about the VisionFund Insurance would cause you to recommend it to a friend or family member?,question_ref,q_nps_promoter_followup,,open_text,,,Conditional follow-up for promoters; classified as question_ref per spec
79,"Considering the benefits and the cost of your insurance, do you feel the insurance is worth what you pay?",question_ref,q_worth_premium,,likert5,,,
80,"If you had to pay the full insurance premium yourself, in the amount of 700,000 VND/hectare per year, would you renew this policy after it expires?",question_ref,q_renewal_intent,,likert5,crop_only,,Vietnam/crop-specific premium amount; expect low fill for non-crop respondents
81,How confident are you that the insurance will pay when something serious happens?,question_ref,q_confidence_pay,,likert5,,,
82,I will now ask you questions about your levels of access to insurance services before and after VisionFund.,drop_scaffold,,,,,,Transition / section lead-in
83,"Before VisionFund, did you have access to an insurance like VisionFund provides?",question_ref,q_prior_access,,binary,,,
84,"If you could no longer access insurance from VisionFund, how easily could you get a comparable insurance product with another organization?",question_ref,q_alternative_access,,single_select,,,
85,This section includes specific questions related to your health insurance.,drop_scaffold,,,,,,Section header — health insurance respondents only
86,"Since having the insurance, were you or any member of your household able to seek medical care more easily?",question_ref,q_healthcare_access,,single_select,health_only,,Health insurance respondents only
87,"Compared to a similar illness before you had insurance, have your out-of-pocket medical costs changed because of the insurance? It has become…",question_ref,q_medical_cost_change,,single_select,health_only,,Health insurance respondents only
88,This section includes specific questions related to your Crop insurance.,drop_scaffold,,,,,,Section header — crop insurance respondents only
89,"After the weather shock, since having the insurance, how quickly were you able to recover and continue earning income?",question_ref,q_crop_recovery_speed,,single_select,crop_only,,Crop insurance respondents only
90,"Since having a crop insurance, has your approach to farming changed (e.g., choice of crops, input investment, or planting practices)?",question_ref,q_crop_farming_change,,single_select,crop_only,,Crop insurance respondents only
91,This section includes specific questions related to your Credit Life insurance.,drop_scaffold,,,,,,Section header — credit life respondents only
92,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?",question_ref,q_credit_other_benefits,,multi_select_parent,credit_life_only,,Multi-select parent; children in cols 93–97; credit life respondents only
93,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/a. Help with medical or hospital costs",multi_select_child,,q_credit_other_benefits,,credit_life_only,,Binary (0/1) child
94,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/b. Help when crops or income are affected by weather (drought, flood, etc.)",multi_select_child,,q_credit_other_benefits,,credit_life_only,,Binary (0/1) child
95,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/c. Help when property or business assets are damaged",multi_select_child,,q_credit_other_benefits,,credit_life_only,,Binary (0/1) child
96,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/d. No other benefits are included",multi_select_child,,q_credit_other_benefits,,credit_life_only,,Binary (0/1) child
97,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/e. I am not sure",multi_select_child,,q_credit_other_benefits,,credit_life_only,,Binary (0/1) child
98,Most MFIs that provide a Credit Insurance only cover the outstanding loan amount in case of the death or disability of the borrower. How valuable are the additional benefits of this enhanced credit insurance to you?,question_ref,q_credit_additional_value,,single_select,credit_life_only,,Credit life respondents only
99,"Lastly, I will be asking questions about you and your household.",drop_scaffold,,,,,,Transition / section lead-in
100,What is the client's age?,question_ref,q_client_age,,age,,,Numeric
101,What is the client's education level?,question_ref,q_client_education,,single_select,,,Single-select
102,What is the client's household size?,question_ref,q_household_size,,single_select,,,Single-select
103,What is the client's sex?,question_ref,q_sex,,single_select,,,
104,"Does anyone in your household experience serious difficulty in any of the following areas: seeing, hearing, walking or climbing steps, remembering or concentrating, self-care, or communicating?",question_ref,q_disability,,single_select,,,Washington Group short-set disability screener
105,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?",question_ref,q_vf_services_received,,multi_select_parent,,,Multi-select parent; binary children in cols 106–111
106,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/a. Loans",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
107,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/b. Savings Accounts",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
108,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/c. Financial Education",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
109,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/d. Health Services (telemedicine, education etc.)",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
110,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/e. None",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
111,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/f. Other (please specify)",multi_select_child,,q_vf_services_received,,,,Binary (0/1) child
112,"If other, please specify:",free_text_child,,q_vf_services_received,,,,Other-specify follow-up to /f option (col 111)
113,What are your main sources of income?,question_ref,q_income_sources,,multi_select_parent,,,Multi-select parent; binary children in cols 114–121
114,What are your main sources of income?/a. Crop agriculture business,multi_select_child,,q_income_sources,,,,Binary (0/1) child
115,What are your main sources of income?/b. Livestock agriculture business,multi_select_child,,q_income_sources,,,,Binary (0/1) child
116,"What are your main sources of income?/c. Trading/Wholesale/Retail (e.g., retail shop)",multi_select_child,,q_income_sources,,,,Binary (0/1) child
117,"What are your main sources of income?/d. Manufacturing (e.g., maker of furniture)",multi_select_child,,q_income_sources,,,,Binary (0/1) child
118,"What are your main sources of income?/e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)",multi_select_child,,q_income_sources,,,,Binary (0/1) child
119,What are your main sources of income?/f. Salaried wage-earner,multi_select_child,,q_income_sources,,,,Binary (0/1) child
120,"What are your main sources of income?/g. Remittances, donations, and government subsidy/assitance",multi_select_child,,q_income_sources,,,,Binary (0/1) child; raw CSV has typo 'assitance'
121,What are your main sources of income?/h. Other (please specify),multi_select_child,,q_income_sources,,,,Binary (0/1) child
122,"If other, please specify:",free_text_child,,q_income_sources,,,,Other-specify follow-up to /h option (col 121)
123,Thank you very much for your time. We will use this information to improve our services to you and future clients. Have a great day!,drop_scaffold,,,,,,Closing message — no respondent answer
124,_id,keep_identity,,,,,kobotoolbox_id,
125,_uuid,keep_identity,,,,,uuid,
126,_submission_time,keep_identity,,,,,submission_time,
127,_validation_status,drop_system,,,,,,
128,_notes,drop_system,,,,,,
129,_status,drop_system,,,,,,
130,_submitted_by,drop_system,,,,,,
131,_tags,drop_system,,,,,,
132,_index,keep_identity,,,,,kobotoolbox_index,
