raw_index,raw_column_header,category,question_ref,parent_ref,response_type,scope,output_name,notes
35,Please describe how the insurance has impacted your quality of life:,question_ref,q_quality_of_life_text,,open_text,,,"LARCO-only open-ended field, 100% filled (Spanish). Needs a qualitative/config.yaml entry (Phase 5)."
36,To what extent do you feel that having VisionFund insurance has contributed to your child's wellbeing?,question_ref,q_child_wellbeing,,single_select,,,"Reused Africa's canonical name. LARCO's finer 5-level scale (No change/Somewhat improved/Very much improved/Somewhat worsened/I do not have children) is collapsed onto Africa's exact 3-category scheme (""Yes""/""No""/""Do not support any children"") so the existing Part 4/5/6/7 calculators (which do exact string comparisons against q_child_wellbeing) work unmodified -- see value_coding_map.yaml. This is the 'child wellbeing improvement' trend indicator."
37,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?,question_ref,q_child_improvements,,multi_select_parent,,,"Reused Africa's canonical parent name. Live children are cols 38-45 (8 options); cols 46-53 are a mostly-zero-variance legacy duplicate block from the 'all versions' merge and are not mapped (one exception, col 53 'Improved Sanitation', had n=20 real responses but was left unmapped for consistency with the rest of that block -- revisit if it matters to the report)."
38,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Less work around the house and in the business,multi_select_child,,q_child_improvements,,,a,"output_name='a' letter override -- see raw_index 28's note on why LARCO's multi-select children need this (no 'x. ' letter prefix in the raw header)."
39,"In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/More time playing, relaxing, or doing homework",multi_select_child,,q_child_improvements,,,b,"output_name='b' letter override -- see raw_index 38's note."
40,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Children under 18 years old were able to stay in school or training,multi_select_child,,q_child_improvements,,,c,"output_name='c' letter override -- see raw_index 38's note."
41,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/All health care costs paid,multi_select_child,,q_child_improvements,,,d,"output_name='d' letter override -- see raw_index 38's note."
42,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Sufficient and varied nutritious food,multi_select_child,,q_child_improvements,,,e,"output_name='e' letter override -- see raw_index 38's note."
43,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Sufficient clothing shoes and school supplies,multi_select_child,,q_child_improvements,,,f,"output_name='f' letter override -- see raw_index 38's note."
44,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Improved housing,multi_select_child,,q_child_improvements,,,g,"output_name='g' letter override -- see raw_index 38's note."
45,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Other,multi_select_child,,q_child_improvements,,,h,"output_name='h' letter override -- see raw_index 38's note."
54,"If other, please specify:",free_text_child,,q_child_improvements,,,,Other-specify follow-up to col 45
55,Do you believe your spouse and children are more financially secure because of VF Insurance?,question_ref,q_financial_security_belief,,binary,,,"LARCO-only construct, no direct Africa equivalent."
56,"If yes, please describe how VF’s insurance has helped you manage financial hardships in the past 12 months?",free_text_child,,q_financial_security_belief,,,,Open-text follow-up (Spanish free text)
57,How easily could you get a comparable insurance product with another organization?,question_ref,q_alternative_access,,single_select,,,"Reused Africa's canonical name. LARCO has 4 options (no ""neither""/""I don't know"" middle grounds); mapped so the two tiers analysis_engine/sections/part_3.py and part_8.py string-match exactly (""Very difficult"", ""Slightly difficult"") land correctly -- see value_coding_map.yaml. This is the 'access to alternatives' trend indicator."
58,"Before VisionFund, did you have access to an insurance like VisionFund provides?",question_ref,q_prior_access,,binary,,,Reused Africa's canonical name -- identical construct and polarity. This is the 'first-time access to insurance' trend indicator.
59,How likely are you to recommend VisionFund’s insurance products to others (0-10)?,question_ref,q_nps_score,,nps_score,,,Reused Africa's canonical name -- identical NPS construct. Used as the 'client satisfaction' trend indicator (Africa's own Part 4 Client Voice already frames NPS this way).
60,Please explain your rating:,question_ref,q_nps_followup,,open_text,,,"LARCO asks ONE always-on NPS follow-up (100% filled) instead of Africa's three conditional promoter/passive/detractor-gated columns. Phase 5 (qualitative/prepare_payload.py) needs to bucket this single column by q_nps_score band at payload-build time, since it can't be split into 3 raw columns at the mapping layer."
121,What is the client's ID Number?,keep_metadata,,,,,client_id,
122,What is the client's age?,question_ref,q_client_age,,age,,,
123,What is the client's education level?,question_ref,q_client_education,,single_select,,,Reused Africa's canonical name; LARCO uses plain-text options (Primary/Lower Secondary/Upper Secondary/Tertiary/None) instead of Africa's lettered scheme. Passes through unchanged -- no yaml entry needed.
124,What is the client's household size?,question_ref,q_household_size,,single_select,,,Reused Africa's canonical name; LARCO uses banded-text options instead of Africa's lettered scheme. Passes through unchanged -- no yaml entry needed.
125,Sex,question_ref,q_sex,,single_select,,,"Reused Africa's canonical name. Raw values are plain ""Female""/""Male"" -- already exactly what analysis_engine/segments.py expects, no yaml entry needed."
200,_id,keep_identity,,,,,kobotoolbox_id,
201,_uuid,keep_identity,,,,,uuid,
202,_submission_time,keep_identity,,,,,submission_time,
203,_validation_status,drop_system,,,,,,
204,_notes,drop_system,,,,,,
205,_status,drop_system,,,,,,
206,_submitted_by,drop_system,,,,,,
207,_tags,drop_system,,,,,,
208,_index,keep_identity,,,,,kobotoolbox_index,
9,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Health & Life Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
10,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Credit Life,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
11,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Personal Accident Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
12,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Crop or Livestock Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
13,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/I did not file a claim,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
14,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Other,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
15,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Health & Life Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
16,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Credit Life,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
17,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Personal Accident Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
18,What type of insurance claim(s) have you filed with VisionFund in the last 12 months? (select all that apply)/Crop or Livestock Insurance,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 8's notes. Mapped as drop_scaffold (not omitted) so the reconciliation diff tool correctly claims this column instead of reporting it as an unexplained residual.
23,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Microloans,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 22's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
24,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Savings Accounts,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 22's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
25,"Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Other Health Services (telemedicine, education etc.)",drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 22's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
26,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Financial Education,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 22's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
27,Which of the listed microfinance service(s) are you also currently accessing? (Select all that apply)/Other,drop_scaffold,,,,,,Dead legacy duplicate child from the 'all versions' KoBo merge (zero variance) -- see raw_index 22's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
46,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Healthcare,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
47,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Food and Nutrition,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
48,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Education,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
49,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Housing and Living Conditions,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
50,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Water and Sanitation,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
51,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Safety and Protection,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
52,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Emotional Security and Peace of Mind,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
53,In which areas have you seen an improvement in your child's well-being due to VF insurance (select all that apply)?/Improved Sanitation,drop_scaffold,,,,,,Mostly-zero-variance legacy duplicate child from the 'all versions' KoBo merge -- see raw_index 37's notes. Mapped as drop_scaffold for the same reconciliation-diff reason as raw_index 9-18.
61,PPI01: ¿Cuál es el estado conyugal actual del jefe(a) del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
62,"PPI02: ¿El jefe(a) del hogar trabajó al menos una hora por un sueldo, salario o una paga, durante la semana pasada? (incluye trabajadores por cuenta propia)",drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
63,PPI03: ¿Qué hizo el jefe(a) del hogar en el trabajo al que dedicó más horas la semana pasada o la última semana que trabajó?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
64,PPI04: ¿En dónde realiza el jefe(a) del hogar principalmente su trabajo?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
65,PPI05: ¿Cuál fue el nivel y grado de educación más alto que aprobó algún miembro del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
66,PPI06: ¿Cuántos cuartos utiliza como dormitorio?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
67,PPI07: ¿Está la vivienda conectada a una red de drenajes?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
68,PPI08: ¿Tiene este hogar servicio de internet?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
69,PPI09: ¿Tiene este hogar servicio de televisión por cable?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
70,PPI10: ¿Qué tratamiento le dan principalmente al agua para beber?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
71,PPI01: ¿En qué departamento se encuentra el hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
72,PPI02: ¿Cuántas personas conforman el hogar? (use la lista del hogar y la definición de miembreo del hogar para responder esta pregunta),drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
73,PPI03: ¿Cuántas personas menores de 18 años hacen parte del hogar? (usar la lista del hogar para responder esta pregunta),drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
74,PPI04: ¿Cuál fue el nivel educativo más alto que aprobó algún miembro del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
75,PPI05: ¿Algún miembro del hogar trabajó por al menos una hora en la última semana? (trabajo: cualquier actividad económica realizada a cambio de un pago (en efectivo o en especie) o trabajadores familiares sin remuneración. incluye trabajo por cuenta propia),drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
76,PPI06: EL agua para beber en el hogar proviene principalmente de: …,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
77,"PPI07: ¿Qué tipo de baño, servicio sanitario o letrina utilizan normalmente los miembros de su hogar?",drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
78,PPI08: ¿Cuál es el material más utilizado en los pisos de esta vivienda?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
79,"PPI09: ¿El hogar tiene, posee o dispone de un refrigerador?",drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
80,"PPI10: ¿El hogar tiene, posee o dispone de un juego de living/comedor (mesas y sillas)?",drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
81,PPI01: ¿En qué provincia reside el hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
82,"PPI02: Excluyendo el baño y la cocina, ¿cuántos cuartos tiene su vivienda?",drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
83,PPI03: ¿Cuál es el nivel educativo correspondiente al último año o curso que la jefa del hogar aprobó?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
84,PPI04: ¿Sabe leer y escribir la jefa del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
85,PPI05: ¿Todos los niños del hogar de 5 a 16 años de edad se inscribieron en la escuela este año?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
86,PPI06: ¿Algún miembro del hogar ha firmado contrato de trabajo en su empleo actual?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
87,PPI07: ¿Tiene usted o algún miembro de su hogar refrigerador?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
88,PPI08: ¿Tiene usted o algún miembro de su hogar plancha eléctrica?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
89,PPI09: ¿Tiene usted o algún miembro de su hogar automóvil?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
90,PPI10: ¿Tiene usted o algún miembro de su hogar abanico eléctrico?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
91,PPI01: ¿En qué dominio se encuentra el hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
92,PPI02: ¿Cuántas personas menores de 18 años hacen parte del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
93,PPI03: ¿Cuál es el año más alto de instrucción que aprobó algún miembro del hogar?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
94,PPI04: ¿Cómo se identifica el jefe del hogar según su cultura y costumbres?,drop_scaffold,,,,,,"PPI (poverty probability index) household questionnaire -- out of scope for this insurance report (see value_coding_map.yaml's scope_of_this_mapping note). Mapped as drop_scaffold, not omitted, so the reconciliation diff tool doesn't treat this large block as unexplained residual on every future LARCO upload."
