raw_index,raw_column_header,role_type,role_name,group_name,option_label,applies_to,notes
77,[If 7-8] What specifically about the VisionFund  Insurance caused you to give it the score that you did?,qual_primary,nps_passive_reasons,,,,
78,[If 9-10] What specifically about the VisionFund Insurance would cause you to recommend it to a friend or family member?,qual_primary,nps_promoter_reasons,,,,
79,"Considering the benefits and the cost of your insurance, do you feel the insurance is worth what you pay?",quant_indicator,worth_the_cost,,,,
80,"If you had to pay the full insurance premium yourself, in the amount of 700,000 VND/hectare per year, would you renew this policy after it expires?",quant_indicator,renew_at_full_premium,,,Crop Insurance,
81,How confident are you that the insurance will pay when something serious happens?,quant_indicator,confidence_payout,,,,
82,I will now ask you questions about your levels of access to insurance services before and after VisionFund.,unused,,,,,"Kobo section-intro/note text, no respondent data"
83,"Before VisionFund, did you have access to an insurance like VisionFund provides?",quant_indicator,had_access_before_vfi,,,,
84,"If you could no longer access insurance from VisionFund, how easily could you get a comparable insurance product with another organization?",quant_indicator,ease_alternative_access,,,,
85,This section includes specific questions related to your health insurance.,unused,,,,,"Kobo section-intro/note text, no respondent data"
86,"Since having the insurance, were you or any member of your household able to seek medical care more easily?",quant_indicator,medical_care_easier,,,Health Insurance,
87,"Compared to a similar illness before you had insurance, have your out-of-pocket medical costs changed because of the insurance? It has become…",quant_indicator,oop_cost_change,,,Health Insurance,
88,This section includes specific questions related to your Crop insurance.,unused,,,,,"Kobo section-intro/note text, no respondent data"
89,"After the weather shock, since having the insurance, how quickly were you able to recover and continue earning income?",quant_indicator,recovery_speed,,,Crop Insurance,
90,"Since having a crop insurance, has your approach to farming changed (e.g., choice of crops, input investment, or planting practices)?",quant_indicator,farming_approach_changed,,,Crop Insurance,
91,This section includes specific questions related to your Credit Life insurance.,unused,,,,,"Kobo section-intro/note text, no respondent data"
92,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?",multiselect_parent,,credit_life_extra_benefits,,,
93,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/a. Help with medical or hospital costs",multiselect_option,,credit_life_extra_benefits,Help with medical or hospital costs,,
94,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/b. Help when crops or income are affected by weather (drought, flood, etc.)",multiselect_option,,credit_life_extra_benefits,Help when crops/income affected by weather,,
95,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/c. Help when property or business assets are damaged",multiselect_option,,credit_life_extra_benefits,Help when property or business assets damaged,,
96,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/d. No other benefits are included",multiselect_option,,credit_life_extra_benefits,No other benefits included,,
97,"Besides the protection in case of death or disability, which other insurance benefits are included with your Credit insurance?/e. I am not sure",multiselect_option,,credit_life_extra_benefits,Not sure,,
98,Most MFIs that provide a Credit Insurance only cover the outstanding loan amount in case of the death or disability of the borrower. How valuable are the additional benefits of this enhanced credit insurance to you?,quant_indicator,value_of_enhanced_benefits,,,Enhanced Credit Life,
99,"Lastly, I will be asking questions about you and your household.",unused,,,,,"Kobo section-intro/note text, no respondent data"
100,What is the client's age?,demographic,age,,,,
101,What is the client's education level?,demographic,education,,,,
102,What is the client's household size?,demographic,household_size,,,,
103,What is the client's sex?,demographic,sex,,,,
104,"Does anyone in your household experience serious difficulty in any of the following areas: seeing, hearing, walking or climbing steps, remembering or concentrating, self-care, or communicating?",demographic,disability,,,,
105,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?",multiselect_parent,,other_vf_services_used,,,
106,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/a. Loans",multiselect_option,,other_vf_services_used,Loans,,
107,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/b. Savings Accounts",multiselect_option,,other_vf_services_used,Savings Accounts,,
108,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/c. Financial Education",multiselect_option,,other_vf_services_used,Financial Education,,
109,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/d. Health Services (telemedicine, education etc.)",multiselect_option,,other_vf_services_used,"Health Services (telemedicine, education)",,
110,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/e. None",multiselect_option,,other_vf_services_used,None,,
111,"In the last 6 months, which services have you received from VisionFund apart from your insurance policy?/f. Other (please specify)",multiselect_option,,other_vf_services_used,Other,,
112,"If other, please specify:",qual_supplementary,other_vf_service_specify,,,,
113,What are your main sources of income?,multiselect_parent,,income_sources,,,
114,What are your main sources of income?/a. Crop agriculture business,multiselect_option,,income_sources,Crop agriculture business,,
115,What are your main sources of income?/b. Livestock agriculture business,multiselect_option,,income_sources,Livestock agriculture business,,
116,"What are your main sources of income?/c. Trading/Wholesale/Retail (e.g., retail shop)",multiselect_option,,income_sources,Trading/Wholesale/Retail,,
117,"What are your main sources of income?/d. Manufacturing (e.g., maker of furniture)",multiselect_option,,income_sources,Manufacturing,,
118,"What are your main sources of income?/e. Service provision business (e.g., salon, skilled/casual laborer, or transport business)",multiselect_option,,income_sources,Service provision business,,
119,What are your main sources of income?/f. Salaried wage-earner,multiselect_option,,income_sources,Salaried wage-earner,,
120,"What are your main sources of income?/g. Remittances, donations, and government subsidy/assitance",multiselect_option,,income_sources,Remittances/donations/government assistance,,
121,What are your main sources of income?/h. Other (please specify),multiselect_option,,income_sources,Other,,
122,"If other, please specify:",qual_supplementary,income_source_other_specify,,,,
123,Thank you very much for your time. We will use this information to improve our services to you and future clients. Have a great day!,unused,,,,,"Kobo section-intro/note text, no respondent data"
124,_id,unused,,,,,"Kobo internal numeric id, not analytically used"
125,_uuid,system_uuid,response_id_source,,,,"platform-minted _uuid, used to build response_id"
126,_submission_time,unused,,,,,"Kobo submission timestamp, not analytically used"
127,_validation_status,unused,,,,,"Kobo validation status, not analytically used"
128,_notes,pii_drop,notes_field,,,,
129,_status,unused,,,,,"Kobo status, not analytically used"
130,_submitted_by,pii_drop,submitted_by,,,,
131,_tags,unused,,,,,"Kobo tags, not analytically used"
132,_index,unused,,,,,"Kobo row index, not analytically used"
